nome,famiglia,quartiere,nobile,cerchio
Cola Bernardini dictus Ordine,nan,kinzica,No,C3
Cola Casini,nan,foriporta,No,C3
Cola Clari di Bindo di Clari,nan,,No,C3
Cola Falcone,Falcone,kinzica,No,C3
Cola Frandi,nan,ponte,No,C3
Cola Multiccio,nan,kinzica,No,C3
Cola Riccio,nan,ponte,No,C3
Cola Rustichi,nan,ponte,No,C3
Cola del Riccio,nan,ponte,No,C3
Cola dell'Arciprete da Vico,nan,medio,No,C3
Cola di Andreotto Galletti,Galletti,medio,No,C3
Cola di Ciolo de Seta,de Seta,medio,No,C3
Cola di Filippo Alliata,Alliata,foriporta,No,C3
Cola di Francesco,nan,ponte,No,C3
Cola di Giovanni,nan,foriporta,No,C3
Cola di Guiduccio,nan,kinzica,No,C3
Cola di Iacopo di Daniele,nan,medio,No,C3
Cola di Lippo,nan,ponte,No,C3
Cola di Martino,nan,kinzica,No,C3
Cola di Mone,nan,ponte,No,C3
Cola di Pietro Balbensis,nan,,No,C3
Cola di Riccio,nan,ponte,No,C3
Cola di Ser Benvenuto di Vanni,nan,ponte,No,C3
Cola di Ser Bevenuto di Vanni,nan,ponte,No,C3
Cola di Ser Martino,nan,kinzica,No,C3
Cola di Vanni Bondiei,nan,ponte,No,C3
Cola di ser Piero,nan,kinzica,No,C3
Colo di Bonagiunta Navigantis,nan,ponte,No,C3
Colo di Lippo Berlestie,nan,ponte,No,C3
Colo di Nuccio,nan,medio,No,C3
Coltus ….,nan,medio,No,C3
Conforto di Guglielmo,nan,medio,No,C3
Consiglio di Pino,nan,medio,No,C3
Corrado del fu Ricciardo da Rinonichi,nan,,No,C3
Corradus not. q. Iacobi Vannis Corradi not. et s.,nan,,No,C3
Corso di Ser Guidone di Rodolfo,nan,kinzica,No,C3
Coscio,nan,medio,No,C3
Coscio Gambacorta,Gambacorta,kinzica,No,C3
Coscio Signoretti,nan,foriporta,No,C3
Coscio di Bindo Alliata,Alliata,foriporta,No,C3
Coscio di Enrico,nan,foriporta,No,C3
Coscio di Menco,nan,kinzica,No,C3
Coscio di Pasquale,nan,ponte,No,C3
Coscius Gaddi aur. mortuus est.,nan,medio,No,C3
Costantino Sardo,nan,kinzica,No,C3
Cristoforo,nan,medio,No,C3
Cristoforo del fu Benedetto,nan,medio,No,C3
Cristoforo del fu Ser Ranieri del fu ser Bonincontro da Ripa d'Arno,nan,,No,C3
Cristoforo di Giovanni di Stefano,di Stefano,kinzica,No,C3
